o,h,l,c,time
1.10520,1.10532,1.10442,1.10532,2016-07-06T04:00:00.000000000Z
1.10532,1.10584,1.10470,1.10544,2016-07-06T05:00:00.000000000Z
1.10551,1.10662,1.10476,1.10646,2016-07-06T06:00:00.000000000Z
1.10646,1.10732,1.10548,1.10652,2016-07-06T07:00:00.000000000Z
1.10649,1.10790,1.10454,1.10560,2016-07-06T08:00:00.000000000Z
1.10558,1.10643,1.10436,1.10572,2016-07-06T09:00:00.000000000Z
1.10569,1.10739,1.10560,1.10670,2016-07-06T10:00:00.000000000Z
1.10668,1.10747,1.10530,1.10538,2016-07-06T11:00:00.000000000Z
1.10534,1.10879,1.10534,1.10739,2016-07-06T12:00:00.000000000Z
1.10742,1.10849,1.10666,1.10682,2016-07-06T13:00:00.000000000Z
1.10678,1.10718,1.10292,1.10703,2016-07-06T14:00:00.000000000Z
1.10706,1.10856,1.10638,1.10755,2016-07-06T15:00:00.000000000Z
1.10759,1.10965,1.10726,1.10894,2016-07-06T16:00:00.000000000Z
1.10898,1.10974,1.10832,1.10954,2016-07-06T17:00:00.000000000Z
1.10954,1.11078,1.10878,1.11036,2016-07-06T18:00:00.000000000Z
1.11032,1.11116,1.10968,1.11017,2016-07-06T19:00:00.000000000Z
1.11015,1.11036,1.10961,1.11002,2016-07-06T20:00:00.000000000Z
1.10994,1.11028,1.10941,1.10948,2016-07-06T21:00:00.000000000Z
1.10946,1.10998,1.10902,1.10945,2016-07-06T22:00:00.000000000Z
1.10948,1.11013,1.10881,1.10972,2016-07-06T23:00:00.000000000Z
1.10969,1.10969,1.10856,1.10884,2016-07-07T00:00:00.000000000Z
1.10885,1.10940,1.10743,1.10852,2016-07-07T01:00:00.000000000Z
1.10856,1.10908,1.10807,1.10867,2016-07-07T02:00:00.000000000Z
1.10867,1.10964,1.10862,1.10962,2016-07-07T03:00:00.000000000Z
1.10961,1.11074,1.10939,1.11020,2016-07-07T04:00:00.000000000Z
1.11022,1.11022,1.10894,1.10904,2016-07-07T05:00:00.000000000Z
1.10902,1.10919,1.10748,1.10778,2016-07-07T06:00:00.000000000Z
1.10776,1.10878,1.10627,1.10632,2016-07-07T07:00:00.000000000Z
1.10632,1.10906,1.10566,1.10815,2016-07-07T08:00:00.000000000Z
1.10814,1.11014,1.10746,1.10928,2016-07-07T09:00:00.000000000Z
1.10932,1.10959,1.10797,1.10825,2016-07-07T10:00:00.000000000Z
1.10821,1.10872,1.10714,1.10737,2016-07-07T11:00:00.000000000Z
1.10739,1.10900,1.10679,1.10870,2016-07-07T12:00:00.000000000Z
1.10866,1.10996,1.10816,1.10957,2016-07-07T13:00:00.000000000Z
1.10959,1.10962,1.10648,1.10714,2016-07-07T14:00:00.000000000Z
1.10716,1.10762,1.10587,1.10644,2016-07-07T15:00:00.000000000Z
1.10642,1.10672,1.10532,1.10642,2016-07-07T16:00:00.000000000Z
1.10638,1.10638,1.10541,1.10568,2016-07-07T17:00:00.000000000Z
1.10570,1.10622,1.10525,1.10552,2016-07-07T18:00:00.000000000Z
1.10552,1.10634,1.10536,1.10630,2016-07-07T19:00:00.000000000Z
1.10634,1.10666,1.10612,1.10618,2016-07-07T20:00:00.000000000Z
1.10633,1.10666,1.10607,1.10624,2016-07-07T21:00:00.000000000Z
1.10622,1.10664,1.10593,1.10601,2016-07-07T22:00:00.000000000Z
1.10598,1.10687,1.10594,1.10636,2016-07-07T23:00:00.000000000Z
1.10634,1.10742,1.10624,1.10684,2016-07-08T00:00:00.000000000Z
1.10682,1.10790,1.10682,1.10754,2016-07-08T01:00:00.000000000Z
1.10752,1.10786,1.10717,1.10762,2016-07-08T02:00:00.000000000Z
1.10762,1.10816,1.10724,1.10816,2016-07-08T03:00:00.000000000Z
1.10819,1.10844,1.10776,1.10840,2016-07-08T04:00:00.000000000Z
1.10837,1.10896,1.10778,1.10846,2016-07-08T05:00:00.000000000Z
1.10842,1.10849,1.10748,1.10806,2016-07-08T06:00:00.000000000Z
1.10810,1.10834,1.10722,1.10766,2016-07-08T07:00:00.000000000Z
1.10766,1.10813,1.10700,1.10748,2016-07-08T08:00:00.000000000Z
1.10748,1.10757,1.10633,1.10636,2016-07-08T09:00:00.000000000Z
1.10632,1.10700,1.10573,1.10648,2016-07-08T10:00:00.000000000Z
1.10644,1.10719,1.10600,1.10628,2016-07-08T11:00:00.000000000Z
1.10624,1.10830,1.10024,1.10249,2016-07-08T12:00:00.000000000Z
1.10247,1.11210,1.10222,1.10536,2016-07-08T13:00:00.000000000Z
1.10539,1.10562,1.10272,1.10362,2016-07-08T14:00:00.000000000Z
1.10362,1.10468,1.10304,1.10358,2016-07-08T15:00:00.000000000Z
1.10361,1.10552,1.10350,1.10546,2016-07-08T16:00:00.000000000Z
1.10542,1.10593,1.10388,1.10420,2016-07-08T17:00:00.000000000Z
1.10422,1.10503,1.10402,1.10476,2016-07-08T18:00:00.000000000Z
1.10474,1.10561,1.10450,1.10519,2016-07-08T19:00:00.000000000Z
1.10516,1.10572,1.10476,1.10502,2016-07-08T20:00:00.000000000Z
1.10502,1.10536,1.10462,1.10512,2016-07-10T21:00:00.000000000Z
1.10508,1.10538,1.10436,1.10504,2016-07-10T22:00:00.000000000Z
